FRXX1088;Montbrun-les-Bains
FRXX1089;Verneuil-sur-Avre
FRXX1090;La Chapelle-Gauthier
FRXX1091;La Flotte
FRXX1092;Angoulins-sur-Mer
FRXX1093;Loire-les-Marais
FRXX1094;Lamballe
FRXX1095;Ploufragan
FRXX1096;Binic
FRXX1097;Plenee-Jugon
FRXX1098;Lachapelle-Graillouse
FRXX1099;Le Beage
FRXX1100;Saulces-Monclin
FRXX1101;Rethel
FRXX1102;Le Poet-Celard
FRXX1103;Mesnil-Verclives
FRXX1104;La Croix-Saint-Leufroy
FRXX1105;Harcourt
FRXX1106;Saint-Christophe-sur-Avre
FRXX1107;Menesqueville
FRXX1108;Plounerin
FRXX1109;Les Aix-d'Angillon
FRXX1110;Sainte-Marie-de-Re
FRXX1111;Pontrieux
FRXX1112;Plestin-les-Greves
FRXX1113;Caroual
FRXX1114;Plouer-sur-Rance
FRXX1115;Matignon
FRXX1116;Gouarec
FRXX1117;Lury-sur-Arnon
FRXX1118;Sorbollano
FRXX1119;Saint-Amant-de-Nouere
FRXX1120;Mortagne-sur-Gironde
FRXX1121;Saint-Andre-de-Lidon
FRXX1122;Thaire
FRXX1123;Alleins
FRXX1124;Les Assions
FRXX1125;Saint-Symphorien-sous-Chomerac
FRXX1126;Rosieres
FRXX1127;Les Ollieres-sur-Eyrieux
FRXX1128;Calvisson
FRXX1129;Laborel
FRXX1130;Malataverne
FRXX1131;Saint-Meen-le-Grand
FRXX1132;Le Pertre
FRXX1133;Verrieres
FRXX1134;Saint-Parres-aux-Tertres
FRXX1135;Saint-Leger-sous-Brienne
FRXX1136;Maizieres-la-Grande-Paroisse
FRXX1137;Aimargues
FRXX1138;Logrian-Florian
FRXX1139;Uchaud
FRXX1140;Portet-sur-Garonne
FRXX1141;Huanne-Montmartin
FRXX1142;Saint-Jean-en-Royans
FRXX1143;Loriol-sur-Drome
FRXX1144;Saint-Marcel-les-Valence
FRXX1145;Saint-Maurice-Navacelles
FRXX1146;Bessan
FRXX1147;Omessa
FRXX1148;Vrigne-aux-Bois
FRXX1149;Herpy-l'Arlesienne
FRXX1150;Boulzicourt
FRXX1151;Savignac-les-Ormeaux
FRXX1152;Luzenac
FRXX1153;Pereille
FRXX1154;Le Port
FRXX1155;Rieucros
FRXX1156;Saint-Pierre-de-Bailleul
FRXX1157;Le Vieil-Evreux
FRXX1158;Louville-la-Chenard
FRXX1159;Saint-Georges-sur-Eure
FRXX1160;Saint-Denis-les-Ponts
FRXX1161;Saint-Victor-la-Coste
FRXX1162;Saint-Privat-des-Vieux
FRXX1163;Villeneuve-les-Avignon
FRXX1164;Saint-Pol-de-Leon
FRXX1165;Saint-Aubin-du-Cormier
FRXX1166;Vic-sur-Aisne
FRXX1167;Montreuil-aux-Lions
FRXX1168;Larouillies
FRXX1169;Verlinghem
FRXX1170;Recquignies
FRXX1171;Boucau
FRXX1172;Maspie-Lalonquere-Juillacq
FRXX1173;Moulins-la-Marche
FRXX1174;May-en-Multien
FRXX1175;Mortcerf
FRXX1176;Villeneuve-sous-Dammartin
FRXX1177;Mitry-Mory
FRXX1178;Lavaveix-les-Mines
FRXX1179;Saint-Sulpice-les-Champs
FRXX1180;Saint-Laurent-des-Vignes
FRXX1181;Saint-Denis-les-Bourg
FRXX1182;Saint-Didier-sur-Chalaronne
FRXX1183;Saint-Rambert-en-Bugey
FRXX1184;Villemotier
FRXX1185;Pont-de-Veyle
FRXX1186;Villars-les-Dombes
FRXX1187;Montreal-la-Cluse
FRXX1188;Neuvic
FRXX1189;Monbazillac
FRXX1190;Prunay-le-Gillon
FRXX1191;Poullan-sur-Mer
FRXX1192;Plomeur
FRXX1193;Lautenbach
FRXX1194;Mittelwihr
FRXX1195;Kembs
FRXX1196;Munchhouse
FRXX1197;Willer-sur-Thur
FRXX1198;Sentheim
FRXX1199;Oderen
FRXX1200;Reiningue
FRXX1201;Montigny-sur-Loing
